row_id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,outcome,oracle_p,true_driver_set,split
1,2.5641222,-0.3044851,0.5476468,1.1641951,-0.4971054,-0.3564057,-0.2630731,-0.4048873,0.012061251,-0.90300655,0.26422223,-0.20649937,0.1935615,-0.0055442173,-0.19074628,0.23351757,0.026454281,0.45632094,0.61113757,-0.22246112,1,0.7653715,f0,train
2,-0.57539916,0.5204752,0.56357926,0.82360756,-0.08797234,0.21256721,2.532539,1.7047515,1.6119645,0.78739375,1.7263378,2.4731941,1.1348139,1.1808326,1.3780183,1.2647394,0.82952076,1.2985986,1.9712671,-0.99588555,0,0.09062734,f0,train
3,3.6912825,0.8363312,-0.5157884,1.1488687,0.08929858,0.85996747,-0.084764175,0.37923613,1.154632,-0.18047893,0.2557008,0.14290422,0.66757935,-0.19720565,0.5216954,0.49643016,0.08062787,0.56342876,0.9831787,-0.103305176,1,0.9194397,f0,train
4,4.4400573,0.8110523,0.23920837,0.9712802,-0.31590906,-0.6610861,-0.16717084,0.02775879,0.5210437,-0.2900325,-0.36838034,-0.47586676,0.06893755,-0.14079407,-0.19919546,0.029890826,-0.19166657,0.11938589,0.9699897,0.30272678,1,0.96326965,f0,train
5,2.174027,-0.39095452,-0.25137404,0.1753187,-0.6955011,-0.89930516,-0.2776293,-0.88451785,-0.3981019,0.6160523,-0.31190017,-1.1421238,-0.011508598,-0.9582581,0.11710296,-0.95808965,-0.76251996,-0.69326407,0.22593777,-0.8080977,1,0.6789431,f0,train
6,0.06347498,-0.684671,-0.659499,-0.8264591,-1.1498151,-1.245806,-0.6405667,-0.44858962,-0.33537227,0.10240202,-0.92016834,-1.195488,-1.8971484,-1.0741317,-0.3835055,-1.6913059,-0.5029605,-0.40645683,-1.2381006,-0.9321114,1,0.16852194,f0,train
7,4.163775,0.6789933,0.34526122,0.3742667,-0.46907887,-0.5547124,-1.2128264,-0.37651289,-0.27420813,-0.047415692,-0.32104924,-0.37630787,-0.1419491,-0.9988422,-0.40901756,-0.8052187,-0.37990695,-0.5067962,-0.33904263,1.413929,1,0.95072234,f0,train
8,2.4731934,1.0591478,0.013290136,-0.3029879,0.8125616,0.90331596,0.6861933,1.5053217,0.48365754,0.8733843,0.09886893,0.5623065,0.46523553,1.3771303,0.6478392,-0.10521948,0.5061813,0.66151786,0.52219737,-0.3304692,0,0.7467448,f0,train
9,1.9037937,-0.06403128,0.71552926,0.52921754,0.16207382,0.14499296,0.6387711,1.1044219,0.32570583,0.28787613,1.0193688,-0.20632948,0.6679428,0.52478063,1.2596202,1.1949708,0.34409887,0.010078868,0.2498256,0.7015316,1,0.6103205,f0,train
10,1.5743737,-0.60470533,0.44771457,0.16691324,0.5392448,0.08310836,0.5647049,0.58053595,0.96892476,0.84146065,0.4435515,1.753984,0.46921414,-0.17597781,-0.14102988,0.40833995,0.14745921,0.84561944,1.5140806,-0.3969767,0,0.52064764,f0,train
11,1.6125622,0.9825487,0.41193295,0.7758609,0.41779992,0.8498598,0.97615296,0.50259215,0.31947488,1.0176923,0.5330362,0.9813475,0.5900525,0.93586767,0.977074,0.47041696,0.68141913,0.10496062,0.24923128,-2.1734936,1,0.5312266,f0,train
12,3.333302,-0.2196707,-0.17914094,-0.8077164,-0.41439334,-0.7419584,-0.9807613,-0.24513932,-0.5173957,-0.37968677,-0.56761235,0.39060068,0.042307228,-0.55407894,0.7523671,-0.1902227,0.055020884,-0.036359243,-0.37391716,-0.22590154,1,0.8846277,f0,train
13,-0.6104124,-1.0417106,-0.8446509,0.03446547,-0.7029674,-0.54543954,-1.0619104,-1.010887,-0.5759156,-0.9824678,-0.41492087,-1.7678609,-1.2113463,-0.6179296,-0.50601244,-1.3552535,-0.62750655,-0.7258216,-0.6313179,-0.30564326,0,0.087471776,f0,train
14,-0.5150111,1.0950122,1.0538443,0.61174154,0.9230881,0.08570161,1.070779,0.45143315,0.63422745,-0.012402679,1.1672008,1.4501747,0.0074374746,1.4472654,1.802521,0.8605935,0.23155545,0.83481634,-0.25264075,0.3801433,0,0.096311145,f0,train
15,0.71949834,-0.3881181,-0.4868632,-0.56131154,-0.4311858,0.18203941,-0.81935954,0.14191116,-1.0569835,-0.45744297,-0.5710673,-0.024942853,0.63375515,0.19380108,0.026299184,-0.9556725,-0.28787524,0.6448507,-0.95147365,-0.48171607,0,0.29583222,f0,train
16,2.1877677,-0.2434538,0.10499219,-0.37071803,0.83449715,-0.2919435,-0.19946682,0.05215606,0.21399465,-0.53419983,-0.01179017,-0.5118209,-0.9602685,-0.15384264,0.037324954,-0.86770993,0.018523296,0.23104449,-0.499243,0.9449933,0,0.68226194,f0,train
17,3.1376946,-2.0606143,-1.700955,-0.95166373,-1.6317173,-0.7963734,-1.8395885,-0.7336432,-1.7341402,-0.41138604,-1.5919237,-1.8835605,-1.6969659,-1.2796404,-2.3049493,-1.0834287,-0.4376927,-0.67821753,-2.0972762,1.8196044,1,0.86052537,f0,train
18,1.4654804,0.63172567,-0.38103783,0.0004121012,-0.20748557,0.37299234,1.116118,0.4634498,1.564335,0.3184556,1.0281559,1.5062178,0.09375315,1.1552496,0.5274389,0.89879566,0.23048161,-0.17937963,1.4043531,1.4851393,1,0.49041238,f0,train
19,1.2701495,0.6970244,-0.87786245,-1.4236172,-0.8969254,-0.199002,-1.0690056,-0.93945545,-0.585419,-0.14848346,-1.9155657,-0.41293153,-0.10841818,-0.5829118,-0.011648215,-0.7837134,-0.7547121,-1.1590292,-1.88169,0.48745427,0,0.4364974,f0,train
