row_id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,outcome,oracle_p,true_driver_set,split
1,1.9165622,1.9266859,1.0922171,0.94571036,-1.3138021,1.0667527,0.6168373,-0.99141484,0.7921148,-0.33789253,1.0622559,0.25055486,-1.3468397,0.9224421,-1.5356098,0.14313239,0.075063705,0.94906473,-1.1749635,-1.6682106,0,0.69701517,f0,train
2,-0.5237137,-1.1319919,1.1152948,0.5276918,-1.796683,0.48783,-0.98644805,-0.21745825,-0.26101926,-2.9857266,-1.9776958,-1.0328892,1.622199,-0.44807357,1.3974625,-1.9862508,-0.3788515,-0.8444267,-0.45554167,0.9631948,0,0.01716739,f0,train
3,-0.0499259,0.17119904,0.19573528,-0.53743416,-0.6515128,0.44226074,0.73806596,-0.22072035,-0.18551208,-0.53555775,-0.54013485,-0.20697878,0.20276277,-0.76171565,-0.30523634,0.2568995,-0.069667235,1.0988352,-1.0419232,-1.4964403,0,0.04311337,f0,train
4,2.738907,3.0501237,-0.106105305,-0.5465774,0.19387218,-0.65819955,0.095880985,-0.40426245,1.708566,0.34309438,-0.31489882,-0.76941353,-1.7440832,0.118381895,1.084791,-0.14706385,-0.57632506,0.059996456,0.20805478,0.09562748,1,0.92257184,f0,train
5,3.8907285,4.157363,1.2802048,1.3706591,-0.8300633,1.9068632,0.030253617,0.029406875,0.8220308,0.1313945,1.3662703,0.61311793,0.7739613,0.027688848,-0.8290129,0.22466347,-0.9815053,-0.63882565,0.88049316,1.5991062,1,0.9916859,f0,train
6,-0.17480558,-0.10284997,1.5225202,-0.7577201,-0.17032407,1.6387788,0.5753856,1.432993,0.67618966,0.65118617,-0.13737343,0.7422981,-0.084133856,0.34832534,-1.2112231,-0.81438094,-0.4776498,-0.73345095,0.052100737,0.60423005,0,0.033907898,f0,train
7,-0.68453085,-0.7198299,0.41745043,0.2850293,-1.0120691,-0.59579414,2.5633159,0.72920954,1.7589581,-1.2189084,-1.3466266,1.0609834,-0.45379305,-0.9008029,-0.10735193,-0.27021888,1.06512,0.5494898,0.43281034,1.2463441,0,0.01250477,f0,train
8,-0.59461117,-0.8546059,-0.30322397,-0.43210515,0.25962695,-0.47768956,1.357025,0.06865252,1.7005805,1.6385965,0.45320925,0.89336103,-1.053835,0.9578204,-0.9836429,-0.17597306,-0.4714557,-1.7259883,-0.53506935,0.2427048,0,0.014931732,f0,train
9,2.7036839,2.500597,0.95160204,-0.6097266,-1.0115687,1.1539,-0.68556964,-0.08211635,0.60311264,-1.361826,-1.2433245,1.2320158,0.54754514,0.25297648,-0.44567642,-0.636454,0.16925594,-0.22019708,-0.26057327,0.27989286,1,0.9173874,f0,train
10,4.3065906,4.3841352,1.2522326,0.8281394,-1.270395,-0.17538571,-0.20096232,-0.2725376,-0.0973462,-0.52300465,0.009705312,-0.78354377,0.05566187,-0.30532116,-0.08661002,1.0856612,0.4998742,-0.1935019,0.35049364,2.1139612,1,0.9963638,f0,train
11,-0.4447021,-0.3095559,-2.15975,0.34748968,0.045174796,0.36038658,-0.2058739,-0.6122946,0.05305087,2.3081114,-1.131812,-0.50862473,-0.44025275,1.2927394,-0.27883968,-0.8769401,0.12804021,0.7070959,1.2311778,0.1669062,0,0.020047408,f0,train
12,-0.46850637,-0.36660954,-1.0672424,-0.2864974,1.2746193,-0.8051958,0.052161243,1.2460304,-0.65206516,-1.0690391,-0.44077533,-1.7594433,1.3188045,-1.0468093,1.6602948,1.4409586,-1.0284061,1.501729,0.71532935,-0.77848715,0,0.01913318,f0,train
13,-0.33327892,-0.47703367,1.6855601,0.9957218,0.36992344,0.99575025,-0.1372374,-0.8721443,-0.21205617,0.18015474,0.0050377864,1.0934057,-1.1478763,-0.7678142,0.12878823,0.7988092,-1.8861839,-1.7880591,-1.4931388,-1.855386,0,0.024927074,f0,train
14,-1.1472882,-1.5710801,-0.41626734,0.37116292,0.15829067,1.0985847,-0.6034772,0.215148,-1.5418845,0.8174242,-0.187617,-1.5097188,-0.629736,-0.78794545,0.03606145,0.5064847,0.429988,-0.19915901,-1.4162132,-0.06749036,0,0.0049936767,f0,train
15,1.4685034,1.7315283,0.270896,-0.52099705,0.9455894,-0.74413204,-0.4778347,0.08437243,1.4937139,0.94870484,0.99258024,0.652249,0.035081513,-1.2573581,-2.5395691,-0.42617065,-0.94051945,-1.3636602,-0.5804972,-0.30265322,1,0.4842569,f0,train
16,1.5834084,1.6257995,-0.3688568,-0.15770575,-1.0701988,-0.3314686,0.7878145,0.051816214,-0.68526155,0.0063627344,-0.42454472,-1.4054677,-0.9586053,0.6958047,-0.60570407,0.3479806,-0.30823207,-2.107828,-0.47540307,-1.1576692,1,0.54160774,f0,train
17,0.9908635,0.86832035,0.77716947,0.56165576,-0.46878976,-1.000349,-0.058261197,-0.009606038,-1.4993154,0.016173124,-0.6793726,0.052072477,-1.0452149,-0.96196,1.9522259,-0.9352674,-1.9616534,0.034155805,1.4143921,0.44454935,0,0.26536393,f0,train
