row_id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,outcome,oracle_p,true_driver_set,split
1,-1.3406879,0.029590698,0.24527952,-2.7920854,0.77869916,0.2961975,-0.8517162,0.22922485,0.06547393,-0.7759235,-0.83169615,0.6314728,-0.4284443,1.476082,-1.3780355,0.61630386,0.50850755,-2.5027282,0.7431992,1.1313157,0,0.00017044946,"f0,f1",train
2,1.8702536,0.4265273,-3.5248525,0.29647192,0.15149951,1.0283229,-0.27838662,1.1354685,-0.06230361,0.8274922,0.29754385,0.6793167,-0.6842576,0.033101086,-0.18479168,-0.8585491,-0.81407934,-0.5171053,1.0355687,0.5775564,0,0.07083687,"f0,f1",train
3,2.0704608,3.8287945,-1.9764235,-0.7895007,-1.2588118,0.25906718,-0.1488559,-0.16778803,-2.1056345,-0.06106783,-0.003356412,-0.6058782,-0.4443932,-1.2148978,-0.7973521,-0.6824471,-1.0137206,-0.29924995,1.026387,0.20115589,1,0.750725,"f0,f1",train
4,3.384597,4.460608,-2.206834,2.6436677,-0.34647915,0.17213924,1.0909538,-1.1749365,-0.6404201,-0.9831816,-0.58899343,-0.40078753,1.2746267,-0.8574479,0.51589024,0.05245344,-1.8563384,2.5331569,0.101890616,1.1861186,1,0.97483504,"f0,f1",train
5,1.8748714,2.8205972,1.2515721,-1.3255159,-1.4389415,0.3644819,0.59678215,-2.8598974,-0.49108544,0.5552485,-1.5543865,0.43201932,0.76702857,1.5454599,-1.3913976,0.35940385,-0.287559,1.3167533,0.76799995,0.82184833,1,0.6339381,"f0,f1",train
6,3.0794501,2.9401894,0.13382593,1.159258,-0.27629802,-1.2058251,0.36380026,-0.6553665,-1.5276662,0.9435671,0.5126712,-0.5318,0.6854411,1.9429374,0.8266837,-0.20799667,0.367146,0.19764583,0.027345987,-1.471773,1,0.9082907,"f0,f1",train
7,-1.1440561,-0.22019154,3.0645292,2.1155922,-0.30741552,-0.31002536,-0.4978765,-0.77534515,-0.0909474,-1.537745,-1.4187099,-0.63448507,1.6481109,-0.059527446,0.07503776,0.50010115,1.3459032,-0.34488943,1.2544194,-0.03249129,0,0.00015608915,"f0,f1",train
8,1.8953862,3.2397463,1.0509841,0.039356202,-0.053180203,-0.25183427,0.04408469,-3.2081199,0.45991626,-0.5341843,-1.2221614,0.11056887,-0.573478,-0.88375986,-0.033829577,-0.2596434,-1.8987474,-1.2924913,0.028036729,-1.4739308,0,0.66742516,"f0,f1",train
9,2.4735417,-0.940941,-0.8152496,1.421531,0.017868595,0.33311686,2.5129027,0.49873507,-1.8166798,-1.0286101,1.6797966,-0.45798492,-1.2686476,1.1773819,-1.0525771,-0.6714177,-0.21353714,0.8909574,0.045017358,-0.8156724,0,0.0065859244,"f0,f1",train
10,1.1432782,2.184185,0.35943455,-0.7707531,0.55213785,-0.61396444,1.5921183,-1.5711032,0.4432126,-0.05626779,1.2720163,0.8052972,1.3183621,0.40271223,-0.33510205,1.563148,2.0524101,-0.27210695,-1.2104394,0.703293,1,0.26212257,"f0,f1",train
11,1.1898859,3.3930495,-1.115744,-1.7428555,-0.675104,-0.29258284,0.543479,-0.23670048,-1.0377508,-0.53615046,-0.99799687,-0.49736035,-0.56711334,-0.45326757,0.18784523,1.1461371,1.052576,0.15784939,0.21416385,0.13200493,1,0.3419722,"f0,f1",train
12,4.045784,2.676479,-3.11503,-0.8493912,0.3782421,-0.33004698,-1.9843076,1.1259545,0.2665445,-0.50624824,0.23800483,0.6043524,-2.5860128,-1.0199349,0.5959736,-0.018954614,-1.315729,-0.040874083,-1.4521285,0.83166903,1,0.9075889,"f0,f1",train
13,4.27785,0.6729928,1.2453179,0.58234465,1.9195725,0.8511901,-1.4067261,0.88568026,1.1087272,-0.8994408,-1.0472708,-0.5116501,0.55976415,1.7060137,-0.91434294,-1.4575976,-0.43888614,-0.97488606,0.7139344,-0.24680805,0,0.15994887,"f0,f1",train
14,4.3630185,2.5210996,-1.6197672,0.10981786,-0.02984941,-0.041632026,-1.2953713,-0.1959798,-0.58187157,1.2616451,-0.59219325,1.1226467,-0.95185363,-0.26404008,0.86449987,-0.054586984,-0.36259302,0.7470262,-0.14721388,0.9066409,1,0.88228077,"f0,f1",train
15,2.1914415,-1.1579384,1.7827609,1.0037637,-2.545754,-0.7112775,0.5469627,0.8018377,1.3583316,0.67973626,0.5635244,1.3990526,-0.28140724,-0.74358946,0.832908,0.067488305,0.61418283,-0.63846636,-0.42633778,-0.75920993,0,0.0039084884,"f0,f1",train
16,0.35881978,-0.8468375,-0.61271393,-0.5576196,0.13719435,1.1867485,-1.3152856,-0.27626464,0.5620105,-1.6690949,0.35172546,1.1528136,0.08184604,-1.8316267,1.626653,1.3919464,0.8074253,0.36846215,-0.86983794,-0.40043786,0,0.0008398287,"f0,f1",train
17,1.4169732,0.27102107,1.1798654,1.0750337,-0.34215385,-0.6744573,0.22797374,-0.84216356,-0.87986946,0.4640778,-1.0862619,1.3645612,-1.264968,-0.6512342,0.3173373,-0.3622279,0.72802615,0.29621774,-0.33264768,-0.83204466,0,0.03616309,"f0,f1",train
18,4.2218,-1.4398949,-2.5467615,-1.5934693,0.95728344,1.3471142,-0.7595774,0.68993336,0.4771322,-1.0815195,-0.18298496,0.34161332,1.0771511,0.32464522,0.3090241,2.169961,0.57442313,1.6541885,-0.066717036,1.3887911,0,0.0027755792,"f0,f1",train
19,1.8723096,-1.0090618,1.4041234,-0.11929091,0.54733723,-1.4275266,2.2968798,-0.6104766,0.9103071,0.6476538,-0.044536512,-0.623048,0.5832181,-0.42487606,-0.27231255,-0.44893315,-0.004946613,0.3794763,-0.031357095,0.044596627,0,0.0044568223,"f0,f1",train
20,-0.4855358,-0.40805766,-2.8230813,0.60625464,-1.227752,0.5445124,-0.00833025,0.47717083,-1.5066504,-1.3091544,0.51476556,0.44544053,-1.573973,-0.76522297,0.4431727,-0.53267366,0.90532684,-0.7234963,0.06319447,-2.145704,0,0.00039856532,"f0,f1",train
21,-1.2312975,-0.8343028,3.3767936,-1.0058804,0.2426567,0.0077477447,0.3895106,0.26470807,0.4314614,0.45590383,-0.6289737,1.61178,-0.31898862,1.4015877,1.6243206,0.8450914,-0.17864825,0.825262,-0.57810134,-0.35277838,0,3.9280752e-05,"f0,f1",train
22,3.7617295,0.37252495,2.7704003,-0.16116358,1.6023251,-1.6370652,-2.4214866,-0.96741605,0.8999018,-1.0167387,0.064427935,1.434354,0.2769262,0.6855949,0.94540197,0.2741004,-0.511942,-0.15622254,-1.9316348,0.77538604,0,0.093904346,"f0,f1",train
23,3.8435297,3.8283863,-1.1572719,1.2342753,-0.070626795,-1.5578347,-1.341882,0.36407337,-1.2315954,0.114856996,-0.6426229,1.0205312,2.140516,0.7619646,-0.21569143,0.768649,-2.5603278,-0.0092243,-1.086313,0.44286323,1,0.9815486,"f0,f1",train
24,1.9948472,-1.478496,0.28414097,0.3200974,-0.04182609,0.97173786,0.5871341,-0.24622077,0.07198552,-0.8864851,0.37347746,-0.15379629,2.0259352,-0.0071782884,-0.13853136,1.6119893,-0.71467936,-1.0553249,1.3293792,0.7630508,0,0.0018816236,"f0,f1",train
25,-0.414677,-1.2038425,-0.5196527,-0.63361806,-0.34288356,-1.149198,-1.1342279,-0.038149346,1.301931,1.6075,1.2661104,0.24114579,-0.6210862,0.29047713,1.219265,-0.19134375,-0.61214197,0.36756557,-1.1661832,0.6755506,0,9.487007e-05,"f0,f1",train
26,1.490073,1.586161,1.7929368,-0.37322855,0.79671615,-0.7887751,0.024920097,1.3624146,0.9100277,-1.3699491,0.9664486,1.507917,-1.5905054,-0.56407475,-0.930996,0.6273252,-0.68839985,-0.040587705,0.6479299,-0.19023421,0,0.26879215,"f0,f1",train
27,4.0651903,-0.77083087,0.83482295,-0.35949525,0.032025505,-1.1403992,-0.8538056,-1.3279947,0.8313991,0.34500572,1.5771974,0.45077583,-1.0437198,-0.09339493,-0.33023176,-0.06800027,-0.8014714,-1.402202,0.4181336,0.8960707,1,0.010481347,"f0,f1",train
28,2.0924263,3.4767466,-1.3082646,0.21863574,0.8013249,0.6484338,0.5831535,0.7465965,-0.25232473,0.9452795,1.1807427,-0.837762,-0.92294216,0.31780955,-2.0960798,0.79883784,-0.21602593,-0.15205434,0.66139305,-1.3501589,1,0.7514016,"f0,f1",train
29,0.28570688,1.9491192,-2.3973427,-1.0914335,-1.5763582,0.679555,-0.9971978,-1.3641456,-0.09957655,-1.1657,0.60818726,0.10287618,-0.6425048,-1.0563481,-0.3139173,-0.5445507,-0.05995448,0.096444055,0.07396465,-0.54981315,0,0.057570834,"f0,f1",train
30,-1.3684429,-0.8480028,2.2514808,-0.19344108,-0.63350785,0.95437574,1.8020785,-1.5769172,0.4938508,0.117011726,-0.05979456,2.5424929,-2.0775113,-0.85124683,1.3232709,-0.5420424,-0.30175194,1.5194131,2.1665597,0.5466193,0,2.9087512e-05,"f0,f1",train
31,-0.22101194,4.360462,-0.2729366,-0.33536234,0.7020946,-1.1597675,-2.1066542,-1.0832102,-0.91395044,0.5166275,-2.1532092,-3.1760194,-0.6918534,-0.019838035,1.3591764,-0.08958225,-0.3174359,-0.022763299,-0.0891976,-1.4118849,0,0.03090635,"f0,f1",train
32,0.2709299,1.2021348,-0.7262838,-0.3464419,-1.1093383,0.4098385,-1.3859434,-0.010821595,-0.46848026,0.5419144,2.4584255,0.41944405,-0.6500645,0.4466954,0.44243452,0.9260069,0.045746334,-1.9958729,0.8205118,-0.1635353,0,0.028015407,"f0,f1",train
33,-0.2351934,-1.3050543,1.6152432,0.2861882,0.49105477,-2.6001852,-0.49945682,0.5356795,1.4120903,-1.0406657,-0.46129325,0.64783573,-1.3383911,0.6941796,0.9484665,-0.57458824,0.34071213,-0.8829955,0.5534985,0.240203,0,0.00011002752,"f0,f1",train
34,3.1600988,2.3593667,0.81759804,0.048756074,0.96779305,0.9815994,1.4332577,-0.6699898,-0.12282278,1.7509423,0.67254716,0.040205278,-1.39812,-0.22328681,-0.9244206,0.93169045,0.2456367,-2.157933,-1.2065202,-0.5681286,0,0.8183845,"f0,f1",train
35,3.3126576,2.6534262,-0.4853304,1.4506867,-1.3161806,-0.90198976,0.5742638,1.2956524,0.405858,0.6952865,-0.98313826,-1.7181075,0.22125477,-1.5439456,0.8262238,-0.26684797,3.230535,1.0196737,0.5503187,-0.18418616,1,0.8858435,"f0,f1",train
36,-0.8720129,-0.13547656,3.5464575,0.8735942,-1.6437027,-0.03145509,0.33666775,-0.78221315,-1.0325692,0.014499722,-0.74958336,-0.3611283,-0.31277946,1.8084873,2.260767,0.031604413,0.67932034,-0.20080873,2.588295,-1.9767116,0,0.00031563884,"f0,f1",train
37,3.1039886,1.3745316,3.2066383,-0.6638789,1.3480594,-1.9749924,0.45976073,-1.407589,0.53413135,-0.49192238,0.57274514,-0.42345193,1.1818922,1.122629,0.6185664,0.8782193,1.5863322,-0.56072927,0.86746097,-1.598911,0,0.42058522,"f0,f1",train
38,1.9405855,1.1446618,-0.9544132,0.3546106,0.10542174,1.397811,0.9792987,2.0167007,-0.9480898,0.6761557,0.37559673,1.2452015,-0.04673763,-1.2817363,-0.58030766,0.375553,-0.33862737,-0.6628387,1.898435,-0.22841145,0,0.23294209,"f0,f1",train
39,1.8330029,2.8927715,0.793744,-0.57662505,-0.60175127,-0.15109764,0.6864418,0.9170721,1.2198309,-0.53241956,-0.818118,-1.1484419,-1.2945935,-0.73353785,1.7287952,-0.21124256,1.1008109,0.939848,-0.64730376,1.2729466,0,0.62222004,"f0,f1",train
40,4.453111,0.5087638,2.3187904,0.20298952,1.2564453,0.47573403,-0.49255118,-0.16041146,-0.22533682,0.2891476,-1.4009362,1.3222308,2.048122,-0.0944518,-1.0102588,0.44987595,0.53090113,-0.082393005,-0.906521,-0.5731071,0,0.12072685,"f0,f1",train
41,0.28291437,4.3527246,1.4226834,-1.7163366,-0.5920667,-2.292143,0.33732566,1.4342425,1.3284491,-0.57633764,-0.4065409,-2.6016774,0.5396393,1.3053651,0.4896433,0.36669222,1.736143,1.3983831,0.04531634,1.5476114,0,0.08033647,"f0,f1",train
42,-1.2173654,4.181649,2.9485543,-0.72228193,-0.14191817,-0.12520412,0.44087067,0.5530653,0.95963424,-0.57912815,-0.46938568,-0.20063816,-0.16141915,-0.888592,0.44848624,-0.7371781,-0.4523739,-0.6234176,0.78193426,-0.42704692,0,0.004323207,"f0,f1",train
