row_id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,outcome,oracle_p,resp_f0,resp_f1,true_driver_set,split
1,1.2276053,1.7259845,1.5801427,-0.06522958,0.1722803,-0.61544776,-1.0232525,-0.064397424,-0.9180113,-0.5737252,1.2224418,0.010348666,-0.41132957,0.53996575,1.3924627,-0.9982839,1.0570157,-0.77182573,0.72470605,0.43330973,1,0.7538597,0.0,1.0,f1,train
2,4.4178295,1.0126712,-0.29597968,0.60674685,1.5655258,-0.9271267,0.3273882,0.049900167,-1.4259835,0.7863633,0.65519696,0.23043527,1.4714206,-0.36033562,0.8704024,-1.3189347,0.81190723,0.42348334,-0.26621485,-0.46346632,1,0.99788505,1.0,0.0,f0,train
3,0.34082016,-0.013245648,0.20203374,-0.8394129,-0.12062743,-1.2552143,-0.024185194,-1.981566,1.1350688,0.80566615,-1.0234854,-0.9772249,1.6428938,-1.2305019,0.43451732,-0.22105068,1.1600324,-1.4141921,-2.017874,0.49570316,0,0.13171309,0.0,0.0,,train
4,0.23550679,-1.3470801,-1.2114354,0.92016727,0.9745259,-0.8839934,2.3241987,-0.93457973,1.0309098,-0.25937724,-0.42820734,0.40784156,-0.34906107,2.0093753,-0.27351117,-0.116809316,-0.90671325,1.021522,1.1304853,2.4711277,0,0.076957464,0.0,0.0,,train
5,2.226805,1.1098012,-1.1753831,-1.3212893,-1.4016461,-0.1405769,-1.367868,0.34580413,0.37250814,-0.37561914,0.46362084,0.1987044,0.9640144,0.4978186,0.9950762,-0.26790246,0.34904218,-0.44290572,-0.85973215,2.8112798,1,0.870084,1.0,0.0,f0,train
6,2.2201946,-0.086227804,-0.29755697,-0.43044087,-0.42096272,-1.1650418,0.46677414,0.62727743,-0.12287249,-0.29018465,-0.41471356,-0.35323018,-0.44295454,2.1566546,1.3080826,-0.4856627,-0.61827606,1.8238926,0.39673522,-0.42758963,1,0.8162156,1.0,0.0,f0,train
7,-0.70286155,2.141302,-3.4574115,0.1818387,1.1230383,0.74836594,2.9803,0.335685,-1.125205,0.06514354,-1.3095007,0.339297,0.51013285,1.2437335,-0.71406645,1.3674762,1.0049796,-0.38787368,0.6529219,0.65659815,0,0.7855111,0.0,1.0,f1,train
8,-1.0668182,1.8673078,1.0076013,0.060756747,-1.6489444,2.2233875,-1.4946939,0.6329977,-1.0344033,-0.59108955,1.0536869,1.0492126,-1.6578896,0.055050615,0.68386334,2.0932302,0.8353806,-0.6711653,0.86096853,-1.1912941,1,0.6777172,0.0,1.0,f1,train
9,2.5665772,3.4401293,-2.7791133,-0.059904117,1.5574955,0.17899011,0.101128735,2.1240847,-0.6215323,0.11589194,0.9270566,0.5935042,2.6027377,-0.050035127,-0.5990278,1.2577597,-0.06588522,-0.58098185,0.8704633,0.67808735,1,0.9978576,0.5,0.5,"f0,f1",train
10,0.7533624,2.0542805,-2.7165005,-0.18715122,0.14614215,-0.8652112,-0.50693387,-1.2862576,0.7163904,0.0037155307,-0.3294098,0.2620586,1.0408314,-0.017412059,-0.2367198,1.1673343,2.1191359,1.0885757,-0.600688,0.037940964,1,0.7973771,0.0,1.0,f1,train
11,-0.35660738,0.79841566,-0.38114262,-1.1030644,0.60803694,0.3562325,-1.0273553,-0.3951658,1.2160828,0.0759968,-0.1566745,-2.0718849,-0.96058244,-0.26561603,1.099751,-0.60699195,-0.47010747,1.603291,1.9411485,1.028427,1,0.21643203,0.0,0.0,,train
12,2.2853813,3.9034278,-0.77437747,-1.463987,0.8283389,-0.35177895,1.1167346,0.053627316,-1.3013345,2.0402508,-0.19466025,1.2067155,-2.8742206,1.4341124,-0.36967543,-0.66370165,0.120604664,-0.2592289,1.160779,-1.006604,1,0.9986047,0.5,0.5,"f0,f1",train
13,0.7346422,2.2690134,-0.7818096,-0.37892452,1.0682858,1.0904723,-0.5918223,0.19950065,-1.2899046,1.0160817,1.6216476,-0.91183496,-0.7768962,0.3641609,-0.038205273,-1.3469204,0.7711156,-1.3016039,-0.5930577,-0.7029842,0,0.85463244,0.0,1.0,f1,train
14,3.2986326,2.0932279,-1.9679223,1.4574009,2.6374462,-0.4231215,0.4715595,-0.004725247,1.5105637,0.1929073,-0.012756842,-0.24595454,0.07351672,0.84079796,-0.78155273,2.2039165,1.6854566,0.99567354,1.1847135,-0.001404647,1,0.99376255,0.5,0.5,"f0,f1",train
15,3.6949677,2.5102067,2.390656,0.27274153,0.81072676,-1.8342632,-0.7223617,0.5020447,-0.10408637,1.9703088,0.067004025,0.41641575,-0.48646614,-0.7195559,-0.73601586,0.6811597,1.0558586,-0.16736655,1.6529732,0.8117943,1,0.99856585,0.5,0.5,"f0,f1",train
16,3.849658,0.25027347,-2.4906552,0.91268164,-1.1700549,0.09169112,0.08302905,-1.7805147,-1.7556555,0.5091689,-0.12141319,-0.9954021,0.94196665,1.2962102,0.8372748,-0.014152585,-1.118106,-1.287327,-0.7065716,-0.19226648,1,0.9916651,1.0,0.0,f0,train
17,3.3999062,1.5859399,0.887828,0.6755311,-0.37402546,-0.9478377,-1.0064434,-0.6206308,0.35740784,0.36720163,0.41963378,-0.5770961,-0.71869075,1.3737204,2.2849958,0.7713371,0.27409324,0.7325235,0.35381457,-0.16062391,1,0.9899955,0.5,0.5,"f0,f1",train
18,3.2787051,2.8106575,3.003485,-0.6653722,0.6430733,-1.1268121,1.2564981,-0.33229095,0.7592122,0.63479173,-0.1149954,-0.03235403,-0.0033250235,0.714336,0.9452641,-1.0605828,-1.052249,-0.23335554,-1.4020786,-1.0354487,1,0.998121,0.5,0.5,"f0,f1",train
19,-0.7368838,2.9579296,1.8379002,-0.3574345,0.8200762,0.63962585,0.3753102,-0.6478594,0.58167666,0.5170608,-0.1442415,-0.34790382,0.36202005,1.0868199,0.25113487,-0.51565367,0.41458544,-0.43001667,-0.5163228,-0.69519836,1,0.94920415,0.0,1.0,f1,train
20,-0.88029987,3.108977,0.9126328,1.5639278,-0.13972464,-0.572275,-0.36821848,-0.14070158,-0.5504748,-0.6015515,0.70728505,0.8601378,0.35077852,0.46342143,0.2894684,-1.003474,-0.22527246,1.6073415,-1.6510609,0.9423104,1,0.9618311,0.0,1.0,f1,train
21,2.4890695,-1.4145758,-0.81676257,1.3446242,1.3309855,-0.45642683,-1.6163304,1.5657088,-1.6208405,0.8216019,-0.8789162,0.025137782,-0.6458304,-0.5668469,-2.5454848,-1.5745091,0.9541772,-0.9404623,-0.32745332,1.5614908,1,0.8788389,1.0,0.0,f0,train
22,3.9759576,-1.3592314,-0.62492925,-0.14474651,-0.6551269,-0.6630374,1.6182888,-1.4167666,0.32918212,0.8076921,-0.11924419,0.39611864,0.8392399,-0.1863751,-1.5855706,3.136255,0.29189336,0.43208116,1.1310453,-0.4426304,1,0.99300283,1.0,0.0,f0,train
23,0.31856084,-0.42857274,0.42972594,-0.8063165,-1.0380805,-1.3133677,-1.4524986,-0.8601148,1.1363751,0.87237287,1.0857224,-1.0590096,0.27787673,-0.2979097,0.6550404,0.9849818,-0.12809512,1.4474791,-0.16395631,0.82736844,0,0.10495818,0.0,0.0,,train
24,3.320286,3.5994794,4.342196,0.42100012,1.1554126,-0.37857422,-0.34552252,1.3848535,-0.09414112,1.402043,-0.71656567,0.08010693,-0.049145162,0.09444114,-2.2237945,0.09347431,0.9297432,0.52240545,0.8281253,1.0031278,1,0.99962187,0.5,0.5,"f0,f1",train
25,3.6986458,1.9941592,2.9853635,-0.5498934,1.6545352,-0.6615486,0.70120955,-0.2612997,0.18945295,0.25315905,0.7535777,0.98271716,0.13248216,-0.6738554,1.130568,-0.31549814,-0.5805763,-0.77402985,-0.48590338,1.3822911,1,0.9967014,0.5,0.5,"f0,f1",train
26,0.6756426,-0.76228046,-0.5865329,-0.30092162,-1.7031555,-0.84100735,-0.0062455526,-1.6102144,1.3151987,0.28565916,0.68330485,-0.46121857,0.97099227,0.23595272,-1.0122064,-0.48399,0.06550859,-1.5142139,0.08466134,-0.49192825,0,0.17027646,0.0,0.0,,train
27,0.30769238,-0.78292066,0.026550055,-0.37256506,0.4903498,0.209584,0.9869859,-0.71673715,-1.450732,-0.23475112,0.65993583,-0.43654338,-0.116047435,0.34880164,0.18705216,-0.6254976,0.56189567,0.10092236,0.18994793,-1.2086141,0,0.09377915,0.0,0.0,,train
28,3.9416215,3.7720447,1.5249171,0.21094383,0.465917,0.6389984,0.6937399,-0.3895605,0.11071979,-0.83704215,-0.64961785,0.72357315,0.04386964,-0.21815689,1.547643,-0.3992472,1.1441734,-0.5913081,0.8630485,-1.0834607,1,0.99992096,0.5,0.5,"f0,f1",train
29,4.247776,-0.053196453,-1.7688607,-0.10480678,0.70703715,0.13056596,-0.55656046,0.08551762,-0.14815864,0.599662,1.3793708,-1.0724692,0.1157485,-0.23682307,0.27379367,-0.85073435,1.1826155,-0.047897827,-0.32926714,-1.3096254,1,0.996087,1.0,0.0,f0,train
30,-1.4910595,0.39117873,-1.1792142,0.92555434,0.88238066,1.1112303,-1.0593343,0.5462417,-1.528611,0.92975295,1.7384821,1.1717833,-0.03834743,1.0064065,-0.8374896,-1.0023692,-1.5558106,0.8544617,-0.8425494,-1.501917,0,0.1004473,0.0,0.0,,test
31,3.4646008,2.3319817,0.637617,1.1971643,0.5828302,-0.26934543,0.7325179,0.22089612,0.582152,-0.5151616,-0.1329703,-0.83942246,2.2824042,-1.0169262,0.14697543,1.5035626,0.25060204,0.078796044,-0.3624458,0.4829447,1,0.99693,0.5,0.5,"f0,f1",train
32,2.2821863,-1.022765,0.74096406,-1.1855805,-0.30045924,0.401956,0.08183277,-0.5589931,-0.21254702,0.46789542,-0.82584673,-0.08720805,0.0012891517,-0.14512432,-1.4071587,0.060447346,-0.61000335,-0.8169299,-0.38607073,-0.6497737,1,0.82808673,1.0,0.0,f0,train
33,0.48609522,0.48697767,4.4858828,1.8312486,-0.59618145,-0.82187384,-0.8222159,0.95537496,0.07457967,-0.81385076,-0.6502311,-1.59797,1.9035528,-0.42553204,2.1667337,-0.50174516,-0.35054335,1.9485209,-0.9571794,0.53435415,0,0.21925926,0.0,0.0,,train
34,3.82941,4.221261,0.30519468,1.290767,-0.21090057,-0.35889465,0.661011,0.57372904,-0.7326336,-0.9818786,-1.3629167,1.8528546,-0.6966146,-0.19737604,0.47451502,-0.5133342,0.7797143,1.0261372,-1.8410555,-0.5562356,1,0.9999595,0.5,0.5,"f0,f1",train
35,0.85782266,3.877581,-1.8804418,0.40334594,-1.6425048,0.11536894,-0.97493607,0.23324086,0.531791,0.039818358,2.011997,-0.041796695,0.76876223,-0.10463005,-0.31946474,0.3708681,1.0768424,-1.0833678,0.019627117,0.7002821,1,0.9933165,0.0,1.0,f1,train
36,1.0625801,0.15420562,0.2980257,0.022328626,0.6481004,-0.4814536,-0.35984108,-1.4732811,-0.94407696,0.22465646,-0.8288367,-1.7773635,-2.8485036,1.6705465,0.7059411,0.22267279,-1.1145543,0.7227297,0.45953768,-0.48261914,0,0.33904332,0.0,0.0,,train
37,1.3732336,-0.7837407,-1.9536711,-0.7581817,-2.4847233,1.0422,-1.8293285,1.1964678,-0.029782616,-0.46986818,-0.2790923,0.85110086,0.7809203,0.45446727,2.5200272,-0.9647333,-0.5450304,1.0409895,-0.80685014,-0.9352503,1,0.44274068,0.0,0.0,,train
38,-0.7708409,-0.88023233,-1.2400681,-0.9471248,-0.014776001,-0.69753146,-0.9966977,-1.1287069,-1.0947181,1.6977648,-0.269085,0.45212066,-0.7499575,-1.948825,-0.5246466,-2.6551518,0.7770801,-0.018612117,0.7534621,1.4253621,0,0.018942535,0.0,0.0,,train
39,1.2650983,-0.3432465,-1.0992132,-0.14022465,-0.7585014,-0.5144728,-0.52855504,0.8888274,-1.2718877,-0.410875,0.23837449,-1.2472719,0.75806004,-1.4201179,0.95017534,-2.0502503,1.3545253,-1.2018236,0.15595518,-1.2967948,1,0.399706,0.0,0.0,,train
40,-0.015648657,2.6579409,1.7034783,-0.105143644,-1.0979052,-1.5864737,0.5007709,-0.31969997,0.13282746,0.08734188,0.21479106,-0.5485829,0.04862387,1.4518634,1.2409967,0.25400168,-1.1274059,-0.5034201,-0.86753976,-2.030164,1,0.9143182,0.0,1.0,f1,train
41,-0.40390503,2.8150117,-2.3659852,0.13651869,1.5468184,-0.3470091,0.8209588,0.760535,-0.2072329,0.94936144,-1.8607662,-0.78425115,1.7528489,0.14778176,-0.49194863,-1.0516784,1.5065116,0.75471085,-0.7026764,-0.51135445,1,0.9342289,0.0,1.0,f1,train
42,2.7213047,-1.2838211,-2.236972,-0.7647413,-0.65382826,2.527502,-0.39878094,0.19338988,-0.025049368,0.019479698,0.8171958,0.30194032,-1.728882,-0.059248667,-0.59544706,-0.72882515,1.0023576,-0.84483814,1.7785323,-0.19191276,0,0.9203236,1.0,0.0,f0,train
43,0.15396507,3.4054167,-0.3140073,0.25573188,2.3046563,-0.38429302,-0.40757215,-1.272751,0.19246666,0.7958026,2.3668907,0.22556591,0.09519624,-0.040349048,-0.36302412,-0.12638462,-1.4945757,-0.5232188,-2.1587048,-0.7149274,1,0.9797229,0.0,1.0,f1,train
44,-1.2487922,0.27993026,1.0475644,1.172819,0.5239561,0.7976818,-0.7568447,1.194702,1.7217813,1.2909236,0.17381914,0.1869723,-0.111990616,-2.5680935,1.4780668,-0.27523834,-0.5579822,-0.2778424,-0.56530607,-1.0749904,0,0.08391553,0.0,0.0,,train
45,0.4436748,3.407892,0.93123466,-0.47106138,-0.75336003,0.7392289,-0.92743933,0.9894076,0.006823688,-1.438463,-1.2598835,0.6675816,-0.4865873,-0.6661778,0.16254035,-0.31056553,1.0342815,0.33336094,-0.25263667,-0.041146904,1,0.9807782,0.0,1.0,f1,train
46,3.318387,-1.3536751,2.2533123,-2.8294492,0.887751,1.898431,-1.4740496,0.25027394,-1.3612417,-0.25108242,-1.7060616,0.33171114,-0.34566316,0.47460043,0.8369106,-0.06683481,-0.4023987,0.097253144,0.72698057,-0.13315909,1,0.97442365,1.0,0.0,f0,train
47,-1.4403142,0.9437935,-0.79311705,-0.22063759,0.22244652,-1.9025908,1.3434155,1.6283937,-0.463863,-0.121706985,-0.6374931,-0.42880282,0.81058747,0.06895992,0.69386506,1.0833141,-0.6250617,-0.011799982,0.7106747,0.31956998,0,0.24951738,0.0,0.0,,train
48,4.2807593,1.4886112,2.8750997,0.49821904,-0.43104404,0.223666,-0.7664225,0.3735117,0.7837786,-0.95067376,3.101515,1.3234544,0.6392065,1.2537758,-0.97458136,1.1891348,0.7722604,-1.18796,-0.3468564,-0.8005965,1,0.9980641,1.0,0.0,f0,train
49,-0.08119793,1.5737429,2.762672,1.1119088,1.7818899,-0.08765894,-0.30802822,0.047979638,0.12774193,-1.3908507,-0.35648727,-1.3026254,1.0957257,-0.77483386,0.24187894,0.36817974,0.56896245,0.4063849,-1.832992,-1.1191497,0,0.55561304,0.0,1.0,f1,train
