row_id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,outcome,oracle_p,true_driver_set,split
1,2.7771199,-0.41610968,1.3295835,0.19395116,-0.10871226,-1.0320138,0.72585225,1.0001603,0.11290215,-1.1490799,-0.1729248,1.2922708,1.2035655,-1.5141732,0.36698112,-1.7816054,-0.3436495,0.2444764,0.28777543,0.01410455,1,0.9278579,f0,train
2,2.7617729,1.1190249,1.8103806,-1.2634038,1.3536459,0.26729527,0.42820925,1.2207015,1.11618,1.6113523,1.3901687,0.059447717,-0.5332584,-0.94051105,1.6799029,0.36500233,-1.3991427,-0.7448099,-0.0540936,-0.75577605,1,0.92577606,f0,train
3,2.0902576,-0.53900635,0.9688017,2.2917469,0.55681723,-1.4480966,-0.72844255,-1.5560342,-0.29905638,-0.30953616,-1.3076065,-0.63318217,0.027841507,0.6202453,1.38557,2.1932173,0.9376369,-0.7104934,-0.27357423,0.76501954,1,0.76504046,f0,train
4,-0.10518022,-1.2848668,-1.0860431,-1.2098029,0.9270833,1.2745975,-0.12367022,2.0508578,0.74394816,-0.50392187,1.4497935,0.8649361,-0.9531976,0.2930744,1.1443821,0.44257948,0.27921104,-2.7923684,0.06183898,-0.3885754,0,0.038777694,f0,train
5,2.0501974,-0.21102968,-0.9667362,1.1456296,0.74650395,1.0899562,-0.49293035,0.11487195,-0.5675337,-0.17263198,-2.6240318,-1.990335,-0.61991066,-0.22866833,0.7288353,-0.6689064,-1.2194843,0.52059317,1.2694151,0.6423665,1,0.7503341,f0,train
6,-0.6274071,0.49092793,-0.7306572,-0.60604846,-0.49741575,-1.1577493,-1.0595931,-1.3965666,0.6317661,1.7134612,-0.043656558,0.7528132,0.7298573,1.5160006,-1.5947138,0.95757556,-0.22634572,-0.40665308,-0.37347624,1.3930955,0,0.01399703,f0,train
7,-1.2506491,-2.1296754,0.7084873,-0.19733123,-1.5791304,0.56535465,-0.45299065,-1.2879816,0.5360488,0.84132284,-0.39887714,0.11050854,-0.30441716,0.8797543,-1.3489295,-0.3723274,-1.1702054,-1.2348669,-0.5923198,-0.70920473,0,0.00406488,f0,train
8,0.558363,-1.1251663,-1.5187885,1.993307,-0.72549635,-0.80680734,0.76587427,-0.011948146,-0.09655637,0.17096625,1.3990443,0.55019635,0.5645615,0.10829333,0.5123937,0.4412393,0.5056782,-0.45778322,0.1515348,2.6147642,0,0.13201328,f0,train
9,-1.0713013,0.49930078,0.5302442,1.1525141,-2.209021,-0.68167734,0.61181706,-0.0020021447,-0.95599484,-0.058183983,0.63048273,-0.043513846,0.6061192,0.20341393,-0.4750042,2.3603134,0.3225678,-0.14911407,-0.7219673,0.6741225,0,0.005808526,f0,train
10,2.4484468,-1.0549492,0.46009922,1.4873515,1.1299438,0.58354217,-0.14339447,-0.2733974,0.35917297,0.5607834,0.38043147,-0.09027358,0.92466426,1.0511233,-0.87037206,0.8296429,-0.39022037,1.0716797,0.9612226,-1.9816936,1,0.86953956,f0,train
11,3.859423,0.39752007,0.30562708,0.0871708,-0.39588904,0.097753406,1.6909186,-1.0556694,0.4868016,-2.5061831,0.10977762,-1.3730482,1.2120638,0.21055725,0.5015902,-0.3365261,-1.0875386,-1.0678039,-2.198399,0.23407963,1,0.99115354,f0,train
12,3.4918923,-2.951242,1.7158796,-0.9122504,0.69831246,-2.6525373,0.9795766,-3.6922765,-1.4154133,0.32154477,0.25965202,-0.16106954,0.51113206,-0.06834709,0.648776,-0.2590563,0.23731297,-0.89482814,0.38705754,-0.73369926,1,0.98172516,f0,train
13,0.2743723,2.2077193,0.5866246,-0.78201854,0.5815831,0.10722735,1.3090715,0.03245776,-1.6663178,0.8200207,-1.8548177,-0.27327552,-0.5090593,-0.69444305,-1.3846391,-1.0022738,0.33112562,-0.10912195,0.84147245,0.05946041,0,0.0793468,f0,train
14,0.07421713,-1.4914762,-0.19908418,0.38770366,0.82278395,0.15234342,0.96529365,0.16204305,-0.6890499,0.016979547,-0.015781311,1.6141093,-0.00668919,0.78808075,-0.1083997,-0.59241986,-1.2429452,0.8730146,-0.17932537,-0.9278546,0,0.054600433,f0,train
15,1.9036758,0.8969919,0.4511548,0.48480397,-0.5384851,1.1561441,0.71426547,-0.11504286,0.8597805,0.63074726,0.6366394,-0.45445898,-1.4146441,-0.124622114,0.32367817,-0.7884907,0.6747651,1.2015527,0.71896863,-0.89648724,1,0.6915449,f0,train
16,-0.8631372,1.8002834,-0.65481794,-0.84327936,-0.39602038,0.18169121,2.1895847,0.22123688,-0.025915412,-0.68856394,-0.40737745,0.045173056,0.2484578,-1.0188677,1.1215334,0.50130147,-1.6227562,1.9565154,-0.9676871,-0.16591573,0,0.008781616,f0,train
17,4.460108,2.8995016,0.8450391,0.866406,0.011213434,-0.14556251,-0.15060326,0.16619655,-1.1783469,0.8463553,-1.0475777,-0.7707586,0.016785666,-1.0644803,-0.148797,1.2141991,-2.1609676,1.2889423,-2.4007974,-0.0869946,1,0.9973226,f0,train
18,3.6429014,-0.35737973,-0.3340617,-0.74735874,0.6707649,-1.1317885,0.85220844,0.75546014,0.77070636,-0.92622006,0.95015925,1.3126459,-0.75678384,-0.5732124,-1.3175248,1.281573,0.5688169,-1.4952337,-0.55925024,-0.83354056,1,0.98642427,f0,train
19,1.3244061,-1.5718882,0.1572408,1.5667338,-1.3895711,-0.49227223,0.5956191,-0.07500655,-1.3302413,0.28901586,-1.3937968,-1.1563809,-0.001077331,-1.7871122,-1.3623557,0.8572671,-0.5031726,0.23032531,1.2682134,-0.1588537,1,0.41309443,f0,train
20,-0.006281311,-0.17303506,-0.2755734,-0.82336897,0.42510113,0.39557564,-0.46895212,-0.19801135,-0.31373024,1.0791966,0.07893362,-0.7026104,0.94156015,2.1675513,-0.6080503,0.35461134,0.4532888,-0.14792676,0.84426576,-0.5439543,0,0.04686156,f0,train
21,-0.98546344,3.74141,0.2759838,-0.34152713,-1.0652909,1.2321079,-1.9992652,1.7940518,-0.25004295,1.0413777,0.78484166,0.16313869,0.9825356,0.27476084,-1.5472089,0.5907583,0.90088964,1.5374708,-0.8909952,0.3084616,0,0.0068889298,f0,train
22,0.16816846,1.6216236,0.31968045,-1.0826728,-0.69077176,-1.4675198,-1.7475257,0.88660973,1.0756619,0.33966702,0.7828269,-0.4688864,-0.0019972746,1.145652,-0.47846568,-0.42223197,0.41525632,1.2741685,0.5843172,-0.73094785,0,0.06515186,f0,train
23,4.482062,2.5140235,0.76904416,0.16124922,0.15547502,1.7305993,-0.80341846,-0.3329664,-0.092407405,-0.17586768,-1.3750808,-1.9785366,1.659483,-0.28512496,-1.321932,-0.121462375,1.0883485,-0.059912734,-0.31414053,0.40165904,1,0.99743724,f0,train
24,4.254466,1.2907016,1.0110976,-0.59365106,-0.534701,0.01464522,-0.19975837,0.9835341,-0.49207422,-0.5266117,-0.99839365,-0.03760537,-1.1522732,-0.65082514,-1.6103975,0.8603183,-1.1954792,-0.17021835,-1.7980359,1.3654737,1,0.99596596,f0,train
25,-0.5862302,-2.1874495,-0.63455313,-1.3882935,-2.1523898,0.58834857,-0.092167936,1.601851,1.1014556,0.712782,0.7492935,1.251442,-1.102913,0.6827466,-0.3212119,-2.0519674,0.114799626,0.09714246,-0.337457,0.8541058,0,0.015180292,f0,train
26,-0.33224013,1.5244685,0.5468353,-1.4435577,0.8129289,-0.07503895,-0.8940614,0.3706952,-0.857278,-0.7757205,-0.08253268,-0.76232123,0.1143475,-0.31762195,0.88363266,1.8651729,-0.08932512,-0.23794599,0.21222532,-0.4906566,0,0.02497762,f0,train
27,1.4816089,-0.82762736,-0.27650243,1.6606762,0.9702096,-0.5181983,-1.0956526,-0.8652081,-1.8916578,-0.3647295,0.577142,-1.1065998,1.7063159,-0.54272914,-1.1662047,-0.33094692,-0.49752542,-1.444273,-0.08160627,-0.5184499,1,0.4908055,f0,train
28,2.5943608,1.5015731,0.69221336,-0.8786278,-1.5739788,0.03701398,-1.8518406,-0.9274477,-0.19125223,-1.5222794,-0.04186422,-0.5174673,-0.49457714,1.5070999,-0.17080311,-0.24028425,0.22198752,0.7381025,0.2932628,-0.37693858,1,0.8992321,f0,train
29,-0.123850815,1.9445877,1.3321197,1.2362517,0.86754394,0.5747687,0.8797749,0.6388063,0.15562564,-1.8568053,1.3714285,2.130182,-0.19037554,-0.26397377,-0.25786838,0.36061767,-0.01752122,2.061273,0.52698016,0.9156646,0,0.037409563,f0,train
30,-0.9313399,-0.9359144,0.16637975,-1.0373521,-0.19428715,-0.71025985,0.15056352,-1.8945394,0.72533965,2.0973315,1.5868082,0.5446779,-0.662656,1.0127953,-0.7774832,0.5831218,1.6462482,-1.3585954,-0.28255132,-1.8538411,0,0.0076704496,f0,train
31,3.3833985,0.5936345,-0.645636,0.40548727,-0.055313338,1.2943175,-0.8330186,-0.69663185,-0.5163054,-0.41440445,0.9811738,1.1889745,-0.11507882,-0.9970299,0.39269966,1.5329194,0.42666683,-0.6475972,0.84639895,1.2865036,1,0.9773967,f0,train
32,3.9820027,-0.7833015,-0.1966792,1.1906608,-0.030926593,-0.22664501,1.538126,0.531659,1.5498782,0.39565507,0.7634055,-0.8463906,0.065473326,0.75110847,-0.4456921,0.36627257,0.6729495,0.003246086,0.08894655,-0.2383414,1,0.9930635,f0,train
33,2.5621142,-1.0099838,0.75052816,-0.7673634,0.18658061,-0.94563675,0.21073362,-0.59014463,-0.31054807,1.425538,-1.0845412,-1.4251064,0.8374889,-0.49919486,-0.24241832,0.5078632,0.30773228,-0.29878598,-0.29656723,-0.80120593,1,0.8932358,f0,train
34,1.8743184,-2.6433504,0.23382555,-0.5301489,-0.01351233,-1.0685387,1.1675814,-0.5519423,0.7244188,-0.97811526,-1.1535698,-0.62767977,-0.52612084,-1.866665,1.5357826,-1.799926,0.3376088,-0.97535694,-0.37662426,1.8966899,1,0.6788815,f0,train
35,3.5962565,-0.043989837,0.45121726,2.4700463,-0.43981814,-0.46506286,-1.092323,-0.27604046,0.65858316,-0.80541545,-0.26385337,0.70820093,0.15500289,-0.19861983,-0.34782395,0.6961763,-0.2497999,1.6501192,0.38563484,-0.8818918,1,0.98511666,f0,train
36,3.0816011,-0.09925955,0.43129793,1.3516022,0.43496737,-0.37829974,-0.2041503,-0.36632627,0.14200558,-1.1878837,0.9458816,-0.3177135,-0.2108193,0.5045318,0.9541237,0.63438714,-0.8903055,0.3807773,-0.3396312,-1.9342337,1,0.9594258,f0,train
